Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2016/2/8,SPY,185.770004,186.119995,182.800003,185.419998,178.060272,191526700
2016/2/9,SPY,183.360001,186.940002,183.199997,185.429993,178.069855,176478700
2016/2/10,SPY,186.410004,188.339996,185.119995,185.270004,177.916214,148214100
2016/2/11,SPY,182.339996,184.100006,181.089996,182.860001,175.601883,219058900
2016/2/12,SPY,184.960007,186.649994,183.960007,186.630005,179.222244,127632400
2016/2/16,SPY,188.770004,189.809998,187.630005,189.779999,182.247208,120250700
2016/2/17,SPY,191.160004,193.320007,191.009995,192.880005,185.224182,136009500
2016/2/18,SPY,193.199997,193.270004,191.720001,192.089996,184.465515,102343000
2016/2/19,SPY,191.169998,192.179993,190.449997,192,184.379089,114793000
2016/2/22,SPY,193.869995,194.949997,193.789993,194.779999,187.048767,103640300
2016/2/23,SPY,194,194.320007,192.179993,192.320007,184.686386,111455300
2016/2/24,SPY,190.630005,193.529999,189.320007,193.199997,185.531464,150812200
2016/2/25,SPY,193.729996,195.550003,192.830002,195.539993,187.778564,107512400
2016/2/26,SPY,196.570007,196.679993,194.899994,195.089996,187.346451,129833700
2016/2/29,SPY,195.110001,196.229996,193.330002,193.559998,185.877167,125918100
2016/3/1,SPY,195.009995,198.210007,194.449997,198.110001,190.246567,141799700
2016/3/2,SPY,197.740005,199.059998,197.25,199,191.101242,102415000
2016/3/3,SPY,198.789993,199.800003,198.110001,199.779999,191.850296,94146200
2016/3/4,SPY,200.009995,201.350006,199.029999,200.429993,192.474472,129293600
2016/3/7,SPY,199.339996,201.070007,199.25,200.589996,192.628143,100219000
2016/3/8,SPY,199.320007,199.919998,198.210007,198.399994,190.52504,123974900
2016/3/9,SPY,199.360001,199.789993,198.429993,199.380005,191.466187,94801200
2016/3/10,SPY,199.960007,201.070007,197.380005,199.539993,191.619781,153608200
2016/3/11,SPY,201.259995,202.809998,199.520004,202.759995,194.71199,137964500
2016/3/14,SPY,202.160004,203.039993,201.770004,202.5,194.462341,73612000
2016/3/15,SPY,201.360001,202.529999,201.050003,202.169998,194.145432,93169100
2016/3/16,SPY,201.600006,203.820007,201.550003,203.339996,195.268967,129303200
2016/3/17,SPY,203.240005,205.229996,202.770004,204.630005,196.507782,134278500
2016/3/18,SPY,204.169998,204.779999,203.800003,204.380005,197.279984,138372400
2016/3/21,SPY,204.070007,204.940002,203.800003,204.669998,197.559875,72926700
2016/3/22,SPY,203.759995,205.229996,203.570007,204.559998,197.453735,97471900
2016/3/23,SPY,204.110001,204.330002,203.009995,203.210007,196.15062,81052500
2016/3/24,SPY,202,203.160004,201.740005,203.119995,196.063736,84360900
2016/3/28,SPY,203.610001,203.860001,202.710007,203.240005,196.179596,62408200
2016/3/29,SPY,202.759995,205.25,202.399994,205.119995,197.994278,90418600
2016/3/30,SPY,206.300003,206.869995,205.589996,206.020004,198.863022,86365300
2016/3/31,SPY,205.910004,206.410004,205.330002,205.520004,198.380386,94584100
2016/4/1,SPY,204.350006,207.139999,203.979996,206.919998,199.73175,114423500
2016/4/4,SPY,206.830002,207.070007,205.889999,206.25,199.085022,63497000
2016/4/5,SPY,204.669998,206.259995,203.889999,204.190002,197.096573,99662200
2016/4/6,SPY,204.190002,206.490005,203.979996,206.419998,199.24913,89889800
2016/4/7,SPY,205.139999,205.559998,203.089996,203.949997,196.864929,113859000
2016/4/8,SPY,205.339996,205.850006,203.869995,204.5,197.395813,95040600
2016/4/11,SPY,205.25,206.070007,203.910004,204.020004,196.932495,83757500
2016/4/12,SPY,204.220001,206.25,203.699997,205.919998,198.766479,110162100
2016/4/13,SPY,207,208.100006,206.839996,208,200.774231,96336400
2016/4/14,SPY,208.070007,208.600006,207.600006,208.009995,200.783859,60422700
2016/4/15,SPY,208.009995,208.169998,207.399994,207.779999,200.561874,75761600
2016/4/18,SPY,207.779999,209.279999,207,209.240005,201.971146,75277700
2016/4/19,SPY,209.740005,210.199997,208.940002,209.899994,202.6082,88316100
2016/4/20,SPY,209.949997,210.919998,209.389999,210.100006,202.801285,81100300
2016/4/21,SPY,210.119995,210.25,208.649994,208.970001,201.710526,85695000
2016/4/22,SPY,208.550003,209.289993,207.910004,208.970001,201.710526,99251700
2016/4/25,SPY,208.259995,208.660004,207.539993,208.610001,201.363037,66166500
2016/4/26,SPY,209.039993,209.520004,208.360001,208.919998,201.662247,75864200
2016/4/27,SPY,208.470001,209.809998,208.050003,209.350006,202.077332,77329400
2016/4/28,SPY,208.460007,209.759995,206.960007,207.449997,200.243332,97216200
2016/4/29,SPY,206.720001,207.130005,205.029999,206.330002,199.162262,142424100
2016/5/2,SPY,206.919998,208.179993,206.410004,207.970001,200.745285,62188000
2016/5/3,SPY,206.520004,206.800003,205.279999,206.160004,198.998154,106422100
2016/5/4,SPY,204.990005,205.850006,204.419998,205.009995,197.888077,92243800
2016/5/5,SPY,205.559998,205.979996,204.470001,204.970001,197.849503,67619200
2016/5/6,SPY,204.059998,205.770004,203.880005,205.720001,198.573425,89315000
2016/5/9,SPY,205.570007,206.399994,205.360001,205.889999,198.737518,74374900
2016/5/10,SPY,206.720001,208.470001,206.639999,208.449997,201.208588,74236100
2016/5/11,SPY,207.910004,208.539993,206.5,206.5,199.326324,81727000
2016/5/12,SPY,207.289993,207.490005,205.369995,206.559998,199.384247,89586300
2016/5/13,SPY,206.210007,206.860001,204.380005,204.759995,197.646774,96474600
